medora ,568 matte,epic night ,150,40,78
christine: princess collection,163,Russian Red,113,55,47
christine: princess collection,151,Rusty Raisin,99,73,79
christine: princess collection,309,Rozy Rose,160,100,89
christine: princess collection,140,Rum Raisin,178,97,140
christine: princess collection,176,Satin Wood,165,119,121
christine: princess collection,322,Sensation,206,173,166
christine: princess collection,343,Sherry Cherry,72,62,60
christine: princess collection,111,Shocking Pink,177,80,71
christine: princess collection,370,Shy Blush,97,61,99
christine: princess collection,134,Smooth Edge,112,76,64
christine: princess collection,185,Spring Diva,90,64,63
christine: princess collection,103,Sugar Flame Red,83,71,71
christine: princess collection,148,Sweat Sand,164,104,93
christine: princess collection,105,Teak Rose,96,75,72
christine: princess collection,313,Trendy Copper,156,113,107
christine: princess collection,364,Twinkle,161,90,72
christine: princess collection,327,Temptation,195,48,76
christine: princess collection,350,Viva 4Eve,145,70,75
christine: princess collection,184,Wao Shocking,76,67,88
christine: princess collection,301,Whisper,106,53,49
christine: princess collection,152,Yum Yum,44,45,47
sweet touch:Matte Moist,108,Absolute red,243,51,30
sweet touch:Matte Moist,128,Beautiful,204,66,91
sweet touch:Matte Moist,105,Beet root,157,36,41
sweet touch:Matte Moist,101,Bridal red,148,6,22
sweet touch:Matte Moist,111,Brown,141,72,67
sweet touch:Matte Moist,126,Candy pink,195,41,51
sweet touch:Matte Moist,104,Crimson,197,30,47
sweet touch:Matte Moist,131,Flamingo,178,45,76
sweet touch:Matte Moist,114,Hazel nut,115,58,51
sweet touch:Matte Moist,130,Hot pink,189,29,73
sweet touch:Matte Moist,122,Hot shots,179,44,76
sweet touch:Matte Moist,123,Hotty totty,182,39,69
sweet touch:Matte Moist,107,Juliet,190,7,74
sweet touch:Matte Moist,103,Marcella,173,79,79
sweet touch:Matte Moist,109,Maroon,156,43,47
sweet touch:Matte Moist,116,Nude lips,144,71,52
sweet touch:Matte Moist,119,Peachy,169,65,64
sweet touch:Matte Moist,125,Pink coral,133,34,37
sweet touch:Matte Moist,129,Pink rouge,195,41,67
sweet touch:Matte Moist,120,Pure orange,163,65,38
sweet touch:Matte Moist,121,Tangerine,180,45,77
sweet touch:Matte Moist,115,Tea pink,118,40,40
sweet touch:Matte Moist,127,Tea rose,192,42,77
sweet touch:Matte Moist,106,Truly yours,172,20,19
sweet touch:Velvet,55,Magenta,220,64,77
sweet touch:Velvet,59,Dark raspberry,129,49,48
sweet touch:Velvet,25,Mahogany,153,44,23
sweet touch:Velvet,50,Spot-on,158,63,59
sweet touch:Velvet,26,Cappuccino,176,97,67
sweet touch:Velvet,40,Fusion,170,71,39
sweet touch:Velvet,34,Scarlet red,189,61,52
sweet touch:Velvet,57,Tropical,212,92,93
sweet touch:Velvet,58,plum,154,72,74
sweet touch:Velvet,43,Dynamite,228,70,67
sweet touch:Velvet,27,Fawn,219,101,87
sweet touch:Velvet,30,Yours forever,168,58,45
sweet touch:Velvet,31,Rudy stone,134,29,23
sweet touch:Velvet,28,Nude,186,112,85
sweet touch:Velvet,29,Coffee Brown,192,114,101
sweet touch:Velvet,33,Terra Rose,182,47,41
sweet touch:Velvet,35,Fuchsia,203,64,43
sweet touch:Velvet,41,Chill red,211,62,40
sweet touch:Velvet,42,Flirty orange,223,77,64
sweet touch:Velvet,52,Blush pink,211,107,94
sweet touch:Velvet,53,Angle,210,91,61
sweet touch:Velvet,54,Barbie pink,205,74,88
sweet touch:Velvet,56,pink charm,205,84,76
sweet touch :Sparkling,101,,180,131,117
sweet touch :Sparkling,102,,76,40,42
sweet touch :Sparkling,106,,146,91,82
sweet touch :Sparkling,107,,36,13,15
sweet touch :Sparkling,108,,108,51,65
sweet touch :Sparkling,109,,71,25,31
sweet touch :Matte ,716,,103,47,46
sweet touch :Matte ,718,,147,75,60
sweet touch :Matte ,721,,62,38,36
sweet touch :Matte ,722,,45,27,25
sweet touch :Matte ,723,,108,25,29
sweet touch :Matte ,725,,130,82,78
sweet touch :Matte ,726,,94,39,28
sweet touch :Matte ,727,,94,45,41
sweet touch :Matte ,729,,82,50,39
sweet touch :Matte ,731,,94,15,33
sweet touch :Matte ,734,,70,54,66
sweet touch :Matte ,735,,48,23,19
sweet touch :Matte ,736,,66,50,71
sweet touch :Matte ,738,,115,62,68
sweet touch :Matte ,739,,84,20,20
sweet touch :Matte ,740,,51,22,14
sweet touch :Matte ,741,,29,17,21
sweet touch :Matte ,742,,38,18,11
sweet touch :Matte ,743,,96,61,48
sweet touch :Matte ,744,,71,16,6
sweet touch :Matte ,745,,97,50,44
sweet touch :Matte ,760,,57,28,24
sweet touch :Matte ,761,,169,64,63
sweet touch :Matte ,762,,55,29,33
sweet touch :Matte ,763,,98,43,18
sweet touch :Matte ,764,,35,14,11
sweet touch :Matte ,765,,80,38,24
sweet touch :Matte ,766,,103,37,39
sweet touch :Matte ,767,,159,27,81
sweet touch :Matte ,769,,82,37,32
sweet touch :Matte ,770,,75,21,9
sweet touch :Matte ,771,,52,11,17
sweet touch :Matte ,772,,54,16,13
sweet touch :Matte ,775,,55,21,12
sweet touch :Matte ,776,,101,68,49
sweet touch :Matte ,777,,52,15,4
sweet touch :Matte ,778,,63,18,21
sweet touch :Matte ,779,,159,134,164
sweet touch :Matte ,780,,70,20,33
sweet touch :Matte ,781,,205,139,127
sweet touch :Matte ,782,,88,23,21
sweet touch :Matte ,783,,96,44,46
sweet touch :Matte ,784,,123,54,47
sweet touch :Matte ,785,,120,47,48
sweet touch :Matte ,786,,76,25,24
sweet touch :Matte ,787,,71,20,17
sweet touch :Matte ,790,,55,17,22
sweet touch :Matte ,791,,42,20,22
sweet touch :Matte ,792,,109,35,48
lakme,9 to 5, Red Coat,192,29,41
lakme,9 to 5,Maroon Mix,161,61,85
lakme,9 to 5,Brick Blush,220,43,67
lakme,9 to 5,Red Letter,211,40,66
lakme,9 to 5,Ruby Rush,201,51,81
lakme,9 to 5,Cherry Chic,136,51,48
lakme,9 to 5,Crimson Silk,242,112,140
lakme,9 to 5,Crimson catch,201,68,74
lakme,9 to 5,Red rebel,200,29,57
lakme,9 to 5,Berry Base,138,46,59
lakme,,Orange tango,218,104,84
lakme,,Purple Pout,176,89,119
lakme,,Brown Espresso,114,69,70
lakme,,Pink Ballet,191,105,111
lakme,,Nude Latte,198,122,102
lakme,,Nude Hue,185,118,111
lakme,,Red Carpet,201,67,74
lakme,,Red Velvet,192,83,83
lakme,,Red Revival,205,90,92
lakme,,Crimson Rose,168,68,77
lakme,,Red Sangria,156,70,78
lakme,,Coral Candy,230,91,106
lakme,,Nude Dream,165,92,92
lakme,,Pink Peach,215,101,104
lakme,,Mauve Fling,172,115,135
lakme,,Fuschia Chic,194,95,126
lakme,,Pink Glam,198,84,109
lakme,,Nude Pink,175,92,102
lakme,,Mauve Party,152,81,88
lakme,,Mauve Ecstasy,171,93,111
lakme,,Nude Myth,208,117,104
lakme,,Nude Twist,165,97,81
lakme,,Wine Touch,127,62,68
lakme,,Red Cherry,163,56,42
lakme,,Red Wine,160,67,93
lakme,,Pink Prom,227,84,124
lakme,,Pink Punch,200,104,121
lakme,,Pink Ballet,193,104,110
lakme,,Nude Hue,184,116,112
lakme,,Coral Sense,204,103,98
lakme,,Wine Glow,154,65,100
lakme,,Pink Trip,186,92,137
lakme,,Candy Shine,215,73,117
lakme,,Beige Shine,236,196,212
lakme,,Plum Shine,216,64,105
lakme,,Pink Shine,204,76,122
lakme,,Red shine,191,65,82
lakme,,Cherry Shine,225,165,168
lakme,,Crimson Shine,229,130,165
lakme,9 to 5,Rose Bliss,171,90,95
lakme,,Moroccan Argan Oil.,208,91,110
lakme,,Enrich mate ,113,60,48
lakme,,enrich mate ,188,46,58
lakme,,Enrich mate ,164,22,48
lakme,,Enrich mate ,178,49,67
lakme,,Enrich mate ,85,24,20
lakme,302,soft nude,156,88,71
lakme,305,Vintage rust,163,84,81
lakme,,Brazen caramel,157,93,69
lakme,402,Mate revolution,197,93,90
lakme,102,Envious red,205,48,71
lakme,104,Blushing red,125,36,47
lakme,201,Insane pink,174,52,107
lakme,401,Obsessing orange,215,51,50
lakme,202,Pink million ,188,21,86
lakme,205, Mauve Me,125,41,53
lakme,B001,Absolute Sculpt,107,31,41
lakme,, Morning Sangria ,132,24,40
lakme,MR22,Scarlet Surge ,214,13,65
